name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M236T460,236.10322,459.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T765,236.10868,764.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T69,236.12275,68.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T616,236.14661,615.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T507,236.16558,507.102,isotopeAnnotation,C00719,M235T507,C00719,Betaine,[M+1],2M+H,C5H11NO2,0.818227957777416,C00719_1,grade1
M237T660,236.83479,659.5985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T661,236.91219,660.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T709,236.91865,709.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T730,236.98938,730.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T607,237.01007,606.807,adductAnnotation;adductAnnotation,C21086;C05584,M243T606;M243T606,C21086;C05584,"(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate;3-Methoxy-4-hydroxymandelate",[M];[M],M+K;M+K,C9H10O5;C9H10O5,0.491955000001042;0.491955000001042,C05584_2;C21086_1,grade3;grade3
M237T871,237.013,871.3395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T432,237.05116,431.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T571,237.05021,570.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T700,237.0796,700.1865,isotopeAnnotation;adductAnnotation,C05926;C05945,M236T701;M299T701,C05926;C05945,Neopterin;L-Arginine phosphate,[M+1];[M],M+H-H2O;M+H-H2O,C9H11N5O4;C6H15N4O5P,0.883261499781523;0.708684233333637,C05945_2;C05926_3,grade2;grade2
M237T67,237.10336,66.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T376,237.12042,376.441,metAnnotation;metAnnotation;metAnnotation;metAnnotation,C00643;C01037;C00082;C16697,M281T626;M265T423;M223T422;M122T475,C00780;C01909;C20800;C10173,Serotonin;Dethiobiotin;3-Methyl-L-tyrosine;Swainsonine,[M];[M];[M];[M],M+CH3COO+2H;M+Na;M+CH3CN+H;M+CH3CN+Na,C10H12N2O;C10H18N2O3;C10H13NO3;C8H15NO3,0.867822377173542;0.832726859962486;0.679076592275494;0.345660814871606,C01909_1;C00780_2;C10173_1;C20800_2,grade2;grade2;grade2;grade2
M237T425,237.12032,424.5735,metAnnotation;metAnnotation,C01037;C04280,M265T423;M204T687,C01909;C04673,Dethiobiotin;1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol,[M];[M],M+Na;M+NH4,C10H18N2O3;C7H13N3O5,0.808246753572764;0.257727779196299,C04673_1;C01909_3,grade3;grade3
M237T70,237.12035,70.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T575,237.1315,574.7725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T78,237.1455,77.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T57,237.14503,56.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T616,237.1496,615.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M237T73,237.16645,73.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
